id,heduc,heblack,mixed,years,div,agediff
287,<12,0,0,14.3495,1,Peer
289,<12,0,0,57.506,0,Peer
293,15-Dec,0,0,7.915,1,Peer
295,<12,0,0,7.162,0,OlderHusband
298,>15,0,0,41.971,0,Peer
300,>15,0,0,12.991,0,Peer
302,15-Dec,0,0,18.3355,1,Peer
305,15-Dec,0,0,18.809,0,Peer
310,<12,0,0,1.864,0,Peer
312,15-Dec,0,0,53.084,0,Peer
315,15-Dec,0,0,17.2895,1,Peer
320,15-Dec,0,0,32.167,1,Peer
325,15-Dec,0,0,18.338,0,Peer
329,15-Dec,0,0,23.469,0,Peer
331,>15,0,0,34.762,0,Peer
333,15-Dec,0,0,4.4325,1,Peer
336,15-Dec,0,0,19.081,0,Peer
339,<12,0,0,35.8465,1,Peer
341,15-Dec,0,0,7.247,1,Peer
342,15-Dec,0,0,28.151,0,OlderHusband
344,15-Dec,0,0,15.9975,1,Peer
346,<12,0,0,2.2125,1,Peer
350,>15,0,0,8.789,0,OlderHusband
351,>15,0,0,8.789,0,OlderHusband
353,>15,0,0,17.999,0,Peer
357,>15,0,0,14.084,0,OlderHusband
362,<12,0,0,27.009,0,Peer
364,<12,1,0,42.313,0,OlderWife
370,<12,0,0,9.002,0,OlderHusband
372,<12,0,0,35.001,0,Peer
375,<12,0,0,35.001,0,Peer
377,<12,0,0,5.0025,1,Peer
385,15-Dec,0,0,37.248,0,Peer
390,<12,0,0,34.653,0,Peer
392,15-Dec,0,0,16.605,0,Peer
394,<12,0,0,44.841,0,Peer
398,15-Dec,0,0,11.671,0,OlderWife
399,15-Dec,0,0,20.504,0,Peer
405,>15,0,0,6.913,0,OlderHusband
408,<12,0,0,22.404,0,Peer
410,<12,0,0,31.485,0,Peer
418,<12,0,0,3.4965,1,Peer
425,<12,0,0,24,0,Peer
427,<12,0,0,33.851,0,Peer
428,15-Dec,0,0,14.576,0,Peer
431,<12,0,0,2.0015,1,Peer
434,15-Dec,0,0,52.663,0,Peer
437,<12,0,0,2.6095,1,Peer
439,>15,0,0,22.719,0,OlderHusband
445,15-Dec,0,0,4.5805,1,Peer
447,<12,0,0,43.751,0,Peer
449,<12,0,0,42.062,0,Peer
451,>15,0,0,29.07,0,OlderHusband
454,>15,0,0,29.07,0,OlderHusband
457,15-Dec,0,0,56.052,0,Peer
462,15-Dec,0,0,17.081,1,Peer
468,15-Dec,0,0,27.168,0,Peer
470,<12,0,0,6.001,0,Peer
475,15-Dec,0,0,5.919,1,Peer
477,15-Dec,0,0,20,0,Peer
479,>15,0,0,10.456,1,Peer
485,<12,0,0,26.971,0,Peer
493,<12,0,0,53.84,0,OlderWife
496,15-Dec,1,0,11.581,1,Peer
502,>15,1,0,22.976,0,Peer
504,<12,0,0,32.999,0,OlderHusband
508,15-Dec,0,0,8.3615,1,OlderHusband
510,15-Dec,0,0,17.084,1,OlderWife
512,15-Dec,0,0,8.003,0,Peer
513,15-Dec,0,0,3.775,0,Peer
520,15-Dec,0,0,3.565,0,OlderHusband
528,<12,0,0,4.977,0,Peer
530,15-Dec,0,0,5.246,0,OlderHusband
537,15-Dec,0,0,1.257,0,OlderHusband
551,15-Dec,0,0,0.6,0,Peer
553,<12,0,0,40.501,0,Peer
559,15-Dec,0,0,49.002,0,OlderHusband
561,<12,0,0,6.0015,1,Peer
566,15-Dec,0,0,1.878,0,OlderHusband
576,15-Dec,1,0,7.003,0,Peer
579,15-Dec,1,0,7.003,0,Peer
581,>15,0,0,41.199,0,Peer
584,15-Dec,0,0,47.546,0,OlderHusband
590,15-Dec,0,0,21.467,0,Peer
592,>15,0,0,21.002,1,Peer
600,15-Dec,0,0,21.467,0,Peer
602,<12,0,0,24.832,0,Peer
604,<12,0,0,41.999,0,Peer
606,<12,0,0,16.972,0,Peer
607,15-Dec,1,0,14.867,0,Peer
613,15-Dec,1,0,7.1675,1,OlderHusband
615,<12,1,0,21.498,1,OlderHusband
616,15-Dec,1,0,7.1675,1,OlderHusband
620,15-Dec,0,0,13.421,0,OlderHusband
628,15-Dec,0,0,15.849,0,Peer
638,15-Dec,0,0,19.425,0,OlderHusband
676,>15,0,0,9.336,1,Peer
684,>15,0,0,10.587,1,Peer
686,<12,0,0,8.668,1,Peer
688,<12,0,0,34.004,0,Peer
690,<12,0,0,31.997,0,Peer
693,15-Dec,0,0,9.5825,1,Peer
700,15-Dec,0,0,48.46,0,OlderHusband
702,15-Dec,0,0,12.527,1,Peer
705,15-Dec,0,0,20.252,0,OlderHusband
713,15-Dec,0,0,5.002,1,Peer
716,>15,0,0,4.4955,1,Peer
718,15-Dec,0,0,6.776,1,Peer
720,15-Dec,0,0,12,0,Peer
721,15-Dec,0,0,13.5795,1,Peer
725,15-Dec,0,0,11.291,1,Peer
728,<12,0,0,40.602,0,Peer
730,<12,0,0,54.412,0,Peer
734,15-Dec,0,0,9.563,0,OlderHusband
740,15-Dec,0,0,7.901,0,Peer
748,>15,0,0,24.03,0,OlderHusband
751,>15,0,0,7.901,0,Peer
753,<12,0,0,43.685,0,Peer
756,<12,0,0,43.685,0,Peer
759,15-Dec,0,0,29.366,0,OlderHusband
763,15-Dec,0,0,2.554,0,Peer
769,15-Dec,0,0,4.668,1,OlderHusband
771,15-Dec,0,0,4.9585,1,Peer
774,15-Dec,0,0,2.554,0,Peer
780,15-Dec,0,0,4.7365,1,Peer
786,15-Dec,0,0,1.624,0,Peer
789,>15,0,0,42.919,0,OlderHusband
791,<12,0,0,14.972,1,Peer
794,15-Dec,0,0,3.748,1,Peer
798,15-Dec,0,0,1.106,0,Peer
807,15-Dec,0,0,2.6695,1,Peer
809,<12,0,0,34.998,0,Peer
811,<12,0,0,34.075,1,Peer
814,15-Dec,1,0,20.999,0,Peer
818,<12,0,0,46.979,0,Peer
820,>15,0,0,28.775,0,OlderHusband
823,15-Dec,0,0,61.407,0,OlderHusband
829,<12,0,0,2.998,0,Peer
831,>15,0,0,22.475,0,OlderHusband
840,>15,0,0,10.743,0,Peer
842,<12,0,0,35.335,0,Peer
844,15-Dec,0,0,32.175,0,Peer
846,<12,0,0,38.149,0,Peer
852,15-Dec,0,0,11.2525,1,Peer
856,<12,0,0,1.3335,1,Peer
859,<12,0,0,55.833,0,Peer
863,<12,0,0,41.164,0,OlderHusband
868,<12,0,0,37.06,0,OlderWife
872,<12,0,0,4.9005,1,Peer
875,15-Dec,0,0,28.738,1,Peer
877,15-Dec,0,0,1.232,1,Peer
880,>15,0,0,29.634,0,Peer
883,<12,0,0,13.999,0,Peer
885,15-Dec,0,0,38.324,0,Peer
887,>15,0,0,5.541,0,Peer
895,>15,0,0,37.268,0,OlderHusband
900,<12,1,0,53.459,0,OlderHusband
902,<12,1,0,30.96,0,Peer
904,<12,0,0,7.001,0,Peer
912,<12,0,0,46.1,0,Peer
915,15-Dec,0,0,54.79,0,OlderHusband
917,>15,0,0,30.001,0,Peer
919,>15,0,0,36.252,0,Peer
926,<12,1,0,24.999,0,Peer
929,<12,0,0,32,0,Peer
931,<12,0,0,25.999,0,Peer
936,15-Dec,1,0,9.421,1,Peer
937,15-Dec,0,1,8.783,0,Peer
940,15-Dec,0,0,40.252,0,Peer
942,<12,0,0,6.875,1,Peer
947,>15,0,0,13.588,1,Peer
952,15-Dec,0,0,21.736,0,Peer
957,15-Dec,0,0,13.057,0,Peer
960,<12,0,0,35.028,0,Peer
963,<12,1,0,24.26,0,OlderHusband
964,<12,1,0,22.015,0,OlderHusband
971,<12,0,0,34.571,0,Peer
973,<12,0,0,22.998,0,Peer
976,>15,0,0,46.823,0,Peer
979,15-Dec,0,0,47.17,0,OlderHusband
982,15-Dec,0,0,20.093,0,Peer
986,15-Dec,0,0,12.887,0,Peer
987,15-Dec,0,0,12.887,0,Peer
989,<12,0,0,32.167,0,Peer
991,<12,0,0,52.671,0,Peer
996,>15,0,0,20.665,0,Peer
1002,>15,0,0,18.76,0,Peer
1005,>15,0,0,18.76,0,Peer
1008,15-Dec,0,0,10.587,1,Peer
1010,>15,0,0,7.6715,1,Peer
1012,>15,0,0,25.073,0,Peer
1015,>15,0,0,30.773,0,Peer
1021,<12,0,0,0.879,0,Peer
1024,15-Dec,0,0,1.002,0,Peer
1031,15-Dec,0,0,48.802,0,Peer
1053,15-Dec,0,0,3.669,0,Peer
1056,>15,0,0,23.001,0,OlderHusband
1060,<12,0,0,48.413,0,Peer
1061,>15,0,0,14.511,0,Peer
1063,<12,0,0,49.916,0,OlderHusband
1066,15-Dec,0,0,60.504,0,OlderHusband
1068,<12,0,0,21.9315,1,Peer
1069,15-Dec,0,0,4.482,0,OlderHusband
1074,<12,0,0,55.581,0,OlderHusband
1076,15-Dec,0,0,42.582,0,Peer
1077,>15,0,0,26.604,0,Peer
1079,15-Dec,0,0,36.301,1,Peer
1084,15-Dec,0,0,8,1,Peer
1087,15-Dec,0,0,32.668,0,Peer
1089,<12,0,0,20.999,0,Peer
1091,<12,0,0,57.049,0,Peer
1098,15-Dec,0,0,2.0835,1,Peer
1099,15-Dec,0,0,9.016,0,OlderHusband
1101,<12,0,0,44,0,Peer
1110,<12,0,0,55.496,0,OlderHusband
1112,<12,0,0,61.832,0,Peer
1115,<12,0,0,17.169,1,OlderHusband
1121,<12,0,0,14.7955,1,Peer
1127,15-Dec,0,0,10.6695,1,Peer
1131,15-Dec,0,0,3.31,1,Peer
1133,15-Dec,0,0,7.4345,1,Peer
1134,15-Dec,0,0,18.757,1,Peer
1137,15-Dec,0,0,3.888,0,OlderHusband
1139,>15,0,0,21.7465,1,Peer
1143,<12,0,0,3.425,0,OlderHusband
1145,15-Dec,0,0,10.872,1,Peer
1149,15-Dec,0,0,27.97,0,Peer
1151,15-Dec,0,0,14.0125,1,Peer
1153,15-Dec,1,0,21.0045,1,Peer
1155,>15,0,0,4.49,0,Peer
1160,15-Dec,0,0,10.653,0,Peer
1161,15-Dec,0,0,10.653,0,Peer
1164,15-Dec,0,0,59.948,0,Peer
1166,>15,0,0,9.0105,1,OlderHusband
1169,>15,0,0,8.999,1,OlderHusband
1172,<12,0,0,49.35,0,OlderHusband
1174,<12,0,0,56.101,0,OlderHusband
1176,<12,0,0,14.012,0,Peer
1178,<12,0,0,22.982,0,Peer
1180,<12,0,0,44.077,0,Peer
1184,>15,0,0,47.88,0,Peer
1186,<12,0,0,10.5955,1,Peer
1188,15-Dec,0,0,4.665,1,Peer
1191,15-Dec,0,0,50.653,0,Peer
1197,15-Dec,0,0,13.029,0,OlderHusband
1206,<12,0,0,57.164,0,OlderHusband
1209,15-Dec,0,0,1.4605,1,Peer
1210,>15,0,0,24.747,0,Peer
1212,<12,0,0,51.001,0,Peer
1213,>15,0,0,14.198,0,OlderHusband
1216,>15,0,0,44.383,0,Peer
1218,<12,0,0,36.205,1,Peer
1221,15-Dec,0,0,47.001,0,OlderHusband
1223,15-Dec,0,0,50.962,0,Peer
1226,15-Dec,0,0,38.42,0,Peer
1230,<12,0,0,23.458,0,Peer
1232,<12,0,0,48.559,0,Peer
1236,15-Dec,0,0,10.9325,1,Peer
1238,<12,0,0,44.063,0,Peer
1241,>15,0,0,22.579,0,OlderHusband
1253,<12,0,0,1.251,1,OlderHusband
1263,<12,0,0,16.309,0,Peer
1273,15-Dec,0,0,2.8335,1,Peer
1278,15-Dec,0,0,15.671,0,Peer
1282,>15,0,0,11.587,0,Peer
1291,15-Dec,0,0,6.39,1,OlderHusband
1292,15-Dec,0,0,15.6715,1,Peer
1295,15-Dec,1,0,17.7765,1,OlderHusband
1297,<12,1,1,10.6355,1,Peer
1300,<12,1,0,54.505,0,OlderHusband
1308,>15,1,0,14.631,0,Peer
1317,15-Dec,1,0,16.057,0,Peer
1322,<12,0,0,19.001,0,Peer
1325,<12,0,0,19.001,0,Peer
1329,15-Dec,0,0,3.165,0,Peer
1332,<12,0,0,24.671,0,Peer
1336,>15,0,0,1.1075,1,Peer
1339,<12,0,0,27.499,1,OlderHusband
1345,15-Dec,0,0,17.254,1,OlderHusband
1357,>15,0,0,15.003,0,Peer
1360,>15,0,0,14.768,0,Peer
1362,15-Dec,0,0,8.6845,1,Peer
1366,<12,0,0,9.0855,1,Peer
1367,15-Dec,0,0,6.0205,1,Peer
1369,15-Dec,0,0,32.706,0,OlderHusband
1372,15-Dec,0,0,32.706,0,OlderHusband
1374,15-Dec,0,0,33.498,0,Peer
1376,>15,0,0,30.653,1,Peer
1379,>15,0,0,34.04,0,OlderHusband
1381,<12,0,0,55.398,0,OlderHusband
1383,<12,0,0,51.707,0,Peer
1385,>15,0,0,33.207,0,Peer
1386,>15,0,0,8.758,0,Peer
1388,<12,0,0,50.001,0,Peer
1399,>15,0,0,18.971,0,Peer
1405,>15,0,0,21.804,0,Peer
1412,>15,0,0,5.53,0,OlderHusband
1418,<12,0,0,42.341,0,OlderHusband
1425,15-Dec,0,0,10.179,0,OlderHusband
1426,15-Dec,0,0,0.972,0,OlderHusband
1434,15-Dec,0,0,0.972,0,OlderHusband
1439,<12,0,0,14.565,0,Peer
1470,15-Dec,0,0,13.689,0,Peer
1475,15-Dec,0,0,7.368,0,Peer
1477,15-Dec,0,0,25.084,0,Peer
1483,15-Dec,0,0,22.242,0,Peer
1486,15-Dec,0,0,5.1525,1,OlderHusband
1489,15-Dec,0,0,18.858,0,OlderHusband
1491,<12,0,0,7.5815,1,Peer
1493,>15,0,0,37.5005,1,Peer
1495,<12,0,0,53.498,0,Peer
1500,15-Dec,0,0,6.407,0,Peer
1506,>15,0,0,3.811,0,Peer
1509,<12,0,0,9.569,0,Peer
1511,>15,0,0,40.115,0,Peer
1514,15-Dec,0,0,34.582,0,Peer
1519,>15,0,0,7.546,0,Peer
1520,>15,0,0,7.546,0,Peer
1522,15-Dec,0,0,58.053,0,OlderHusband
1528,15-Dec,0,0,11.272,0,Peer
1534,<12,0,0,60.208,0,Peer
1536,<12,0,0,22.001,0,Peer
1539,15-Dec,0,0,21.164,0,OlderHusband
1546,>15,0,0,20,1,Peer
1555,15-Dec,0,0,4.252,1,Peer
1589,15-Dec,0,0,11.1675,1,OlderHusband
1596,>15,0,0,10.2065,1,Peer
1599,>15,0,0,50.385,0,OlderHusband
1603,<12,0,1,5.848,0,Peer
1609,>15,0,0,1.6125,1,Peer
1611,<12,0,0,35.381,0,Peer
1624,15-Dec,0,0,6.795,0,Peer
1632,>15,0,0,2.012,0,Peer
1634,15-Dec,0,0,4.082,1,Peer
1648,15-Dec,0,0,1.807,0,OlderHusband
1657,15-Dec,0,0,4.739,1,OlderHusband
1661,>15,0,0,5.09,0,Peer
1668,<12,0,0,6.754,1,Peer
1670,<12,0,0,32.769,0,Peer
1685,15-Dec,0,0,25.774,0,Peer
1690,15-Dec,0,0,5.966,0,Peer
1693,>15,0,0,7.966,1,OlderHusband
1695,<12,0,0,52.611,0,OlderHusband
1697,>15,0,0,54.166,0,Peer
1701,15-Dec,0,0,22.765,0,Peer
1704,<12,0,0,5.0025,1,Peer
1707,15-Dec,0,0,29.229,0,Peer
1709,<12,0,0,49.125,0,Peer
1713,15-Dec,0,0,39.488,0,Peer
1715,<12,0,0,45.087,0,Peer
1717,15-Dec,0,0,4.6925,1,Peer
1720,>15,0,0,9.999,1,OlderHusband
1724,<12,0,0,2.3355,1,Peer
1726,15-Dec,0,0,11.88,0,Peer
1736,15-Dec,0,0,8.654,0,Peer
1745,<12,0,0,2.042,0,Peer
1749,15-Dec,0,0,20.066,0,Peer
1754,15-Dec,0,0,10.36,0,OlderHusband
1758,>15,0,0,24.8325,1,Peer
1760,15-Dec,0,0,27.47,1,Peer
1769,15-Dec,0,0,14.743,0,Peer
1778,15-Dec,0,0,7.198,0,OlderHusband
1781,<12,0,0,12.999,0,OlderHusband
1783,<12,0,0,45.235,0,Peer
1787,>15,0,0,13.58,1,OlderHusband
1789,15-Dec,0,0,21.706,0,OlderHusband
1791,<12,0,0,37.582,0,Peer
1795,15-Dec,0,0,4.9145,1,OlderHusband
1798,15-Dec,0,0,14.196,0,Peer
1805,15-Dec,0,0,2.6095,1,Peer
1813,15-Dec,0,0,20.419,1,Peer
1814,<12,0,0,0.381,0,Peer
1817,<12,0,0,61.771,0,OlderHusband
1820,>15,0,0,42.847,0,OlderHusband
1826,15-Dec,0,0,23.565,0,Peer
1835,15-Dec,0,0,42.01,0,Peer
1837,<12,0,0,46.138,0,Peer
1841,15-Dec,0,0,21.44,0,Peer
1843,15-Dec,0,0,17.002,1,Peer
1846,<12,0,0,53.405,0,Peer
1852,15-Dec,0,0,9.166,1,Peer
1853,15-Dec,0,0,10.831,0,Peer
1861,>15,0,0,5.038,0,Peer
1867,<12,0,0,10.182,0,Peer
1868,<12,0,0,23.348,0,Peer
1870,15-Dec,0,0,10.1655,1,Peer
1872,<12,0,0,35.001,0,Peer
1877,15-Dec,0,0,0.561,0,OlderHusband
1879,15-Dec,0,0,43.08,0,OlderHusband
1881,15-Dec,0,0,12.241,0,OlderHusband
1883,>15,0,0,3.874,0,OlderHusband
1887,<12,0,0,6.023,0,Peer
1890,15-Dec,0,0,0.912,1,Peer
1895,15-Dec,0,0,0.767,0,Peer
1902,15-Dec,0,0,8.75,1,OlderHusband
1921,<12,0,0,4.331,0,Peer
1924,<12,0,0,13.999,0,OlderHusband
1934,15-Dec,0,0,15.559,0,Peer
1943,15-Dec,0,0,17.331,0,Peer
1945,15-Dec,0,0,15.559,0,Peer
1948,15-Dec,0,0,6.5815,1,Peer
1955,<12,0,0,6.086,1,Peer
1964,<12,0,0,4.419,1,Peer
1969,15-Dec,0,0,5.914,1,OlderHusband
1976,<12,0,0,36.356,0,OlderHusband
1981,15-Dec,0,0,0.608,1,Peer
1985,<12,0,0,24.999,0,Peer
1987,<12,0,0,6.2505,1,Peer
1994,15-Dec,0,0,16.726,0,OlderWife
1996,15-Dec,0,0,11.833,0,OlderHusband
1999,15-Dec,0,0,29.823,0,Peer
2001,15-Dec,0,0,5.9195,1,Peer
2005,<12,0,1,9.662,0,Peer
2031,15-Dec,0,0,40.597,0,Peer
2034,15-Dec,0,0,40.597,0,Peer
2036,15-Dec,0,0,0.9745,1,Peer
2042,<12,0,0,7.313,1,Peer
2049,<12,0,0,3.526,0,Peer
2051,<12,0,0,29.999,0,Peer
2064,>15,0,0,11.584,0,OlderWife
2067,<12,0,0,18.998,0,Peer
2069,<12,0,0,31.017,0,Peer
2073,<12,0,0,24.4035,1,Peer
2075,<12,0,0,55.915,0,Peer
2078,<12,0,0,55.915,0,Peer
2081,>15,0,0,7.406,1,Peer
2083,15-Dec,0,0,1.9985,1,Peer
2085,15-Dec,0,0,18.374,0,Peer
2091,15-Dec,0,0,28.501,0,Peer
2093,>15,0,0,21.829,0,Peer
2095,>15,0,0,24,0,OlderHusband
2098,>15,0,0,24,0,OlderHusband
2101,15-Dec,0,0,38.215,0,OlderHusband
2107,<12,0,0,18.3765,1,Peer
2117,<12,0,0,19.347,1,Peer
2119,15-Dec,0,0,21.591,1,Peer
2122,>15,0,0,21.591,1,Peer
2126,15-Dec,0,0,32.033,0,Peer
2128,>15,0,0,27.42,0,OlderHusband
2132,>15,0,0,46.36,0,Peer
2136,15-Dec,0,0,3.918,1,OlderHusband
2139,15-Dec,0,0,5.251,1,Peer
2141,15-Dec,0,0,1.793,0,Peer
2148,15-Dec,0,0,24.025,0,Peer
2149,15-Dec,0,0,24.025,0,Peer
2151,>15,0,0,25.555,0,Peer
2154,>15,0,0,21.591,0,Peer
2157,15-Dec,0,0,23.639,0,Peer
2163,>15,0,0,32.394,0,OlderHusband
2167,>15,0,0,1.114,0,OlderHusband
2175,15-Dec,0,0,34.001,0,Peer
2177,<12,1,0,30.094,0,Peer
2179,<12,1,0,45.944,0,Peer
2181,<12,0,0,24.794,1,Peer
2183,15-Dec,0,0,39.959,0,Peer
2186,15-Dec,0,0,38.702,0,Peer
2190,<12,0,0,5.812,0,OlderWife
2192,<12,0,0,5.3335,1,Peer
2195,>15,0,0,57.919,0,Peer
2198,15-Dec,0,0,3.003,0,Peer
2200,<12,1,0,15.5465,1,Peer
2203,<12,1,0,11.671,0,OlderHusband
2208,15-Dec,0,0,13.498,0,Peer
2211,<12,0,0,6.483,1,Peer
2215,<12,0,0,0.991,0,Peer
2223,>15,0,0,13.807,0,Peer
2225,<12,0,0,18.01,0,Peer
2227,<12,0,1,15.707,0,Peer
2235,15-Dec,0,0,28.252,0,Peer
2239,<12,0,0,1.714,0,OlderWife
2246,15-Dec,0,0,1.328,1,Peer
2256,15-Dec,0,0,10.2505,1,Peer
2259,15-Dec,0,0,18.122,1,Peer
2260,<12,0,0,3.548,0,Peer
2262,15-Dec,0,0,12.723,0,Peer
2266,<12,0,0,13.1005,1,Peer
2271,15-Dec,0,0,3.548,0,Peer
2274,>15,0,0,31.5945,1,Peer
2279,<12,0,0,8.063,0,Peer
2295,15-Dec,0,0,25.7495,1,Peer
2298,>15,0,0,30.251,0,OlderHusband
2317,<12,0,0,44.131,0,Peer
2321,<12,0,0,6.869,1,Peer
2322,15-Dec,0,0,7.2715,1,Peer
2324,<12,1,0,22.7995,1,Peer
2328,15-Dec,1,0,8.9145,1,OlderHusband
2348,15-Dec,1,0,23.488,0,Peer
2350,<12,0,0,30.166,0,Peer
2352,15-Dec,0,0,11.001,1,OlderHusband
2358,15-Dec,0,0,31.0005,1,OlderHusband
2361,>15,0,0,14.842,0,Peer
2367,>15,0,0,8.11,0,OlderHusband
2370,<12,1,0,50.919,0,Peer
2375,>15,1,0,9.719,0,OlderHusband
2377,<12,1,0,22.4995,1,Peer
2379,<12,0,0,23.7505,1,Peer
2382,<12,0,0,38.33,0,Peer
2384,<12,0,0,31.373,0,Peer
2389,15-Dec,0,0,6.048,0,Peer
2398,>15,0,0,3.0005,1,Peer
2401,>15,0,0,4.9885,1,Peer
2405,>15,0,0,1.93,1,Peer
2407,15-Dec,0,0,20.167,1,Peer
2410,15-Dec,0,0,20.3315,1,Peer
2415,<12,0,0,5.993,0,OlderWife
2428,15-Dec,0,0,2.0805,1,Peer
2432,15-Dec,0,0,15.116,0,Peer
2434,>15,0,0,20.381,0,Peer
2437,15-Dec,0,0,21.832,0,Peer
2439,15-Dec,0,0,46.806,0,OlderHusband
2440,>15,0,0,8.843,0,Peer
2446,15-Dec,0,0,11.444,0,OlderHusband
2453,15-Dec,0,0,6.738,1,Peer
2455,>15,0,0,3.838,0,Peer
2458,15-Dec,0,0,30.185,0,OlderHusband
2462,<12,0,0,3.42,1,OlderWife
2473,<12,0,0,23.422,0,Peer
2482,15-Dec,0,0,36.474,0,OlderHusband
2485,15-Dec,0,0,36.474,0,OlderHusband
2487,15-Dec,0,0,42.924,0,Peer
2490,15-Dec,0,0,42.924,0,Peer
2502,15-Dec,0,0,30.913,0,OlderWife
2504,>15,0,0,32.986,0,Peer
2508,>15,0,0,5.752,0,Peer
2515,<12,0,0,0.548,0,Peer
2518,>15,0,0,22.664,0,Peer
2520,15-Dec,0,0,38.595,0,Peer
2523,15-Dec,0,0,38.587,0,Peer
2528,15-Dec,0,0,18.404,0,Peer
2546,15-Dec,0,0,16.504,0,Peer
2548,15-Dec,0,0,42.834,0,OlderHusband
2556,<12,0,0,4.838,0,Peer
2558,15-Dec,0,0,11.332,1,Peer
2563,>15,0,0,4.838,0,Peer
2566,>15,0,0,45.626,0,Peer
2568,>15,0,0,32.83,0,OlderHusband
2572,15-Dec,0,0,12.172,0,Peer
2578,15-Dec,0,0,13.194,0,OlderHusband
2581,15-Dec,0,0,12.172,0,Peer
2587,15-Dec,0,0,11.047,0,Peer
2589,<12,0,0,46.333,0,Peer
2592,<12,0,0,45.749,0,Peer
2594,15-Dec,0,0,35.584,0,Peer
2597,15-Dec,0,0,28.999,0,Peer
2598,15-Dec,0,0,23.702,0,OlderHusband
2602,<12,1,0,50.084,0,Peer
2604,<12,1,0,6.001,0,Peer
2610,15-Dec,1,0,4,0,Peer
2612,15-Dec,0,0,15.7385,1,Peer
2616,15-Dec,0,0,5.266,1,Peer
2619,<12,0,0,49.588,0,Peer
2621,15-Dec,0,0,12.419,1,OlderHusband
2624,>15,0,0,3.001,1,Peer
2628,>15,0,0,22.667,0,OlderHusband
2630,>15,0,0,25.027,0,Peer
2632,15-Dec,0,0,24.003,0,Peer
2634,15-Dec,0,0,39.023,0,Peer
2636,15-Dec,0,0,29.218,0,OlderHusband
2638,15-Dec,0,0,14.638,1,OlderHusband
2647,<12,0,0,7.551,0,OlderHusband
2656,15-Dec,0,0,10.9155,1,Peer
2660,15-Dec,0,0,15.422,0,Peer
2662,15-Dec,0,0,9.139,0,Peer
2664,>15,0,0,43.929,0,OlderHusband
2668,15-Dec,0,0,6.505,1,Peer
2671,15-Dec,0,0,30.546,0,Peer
2674,>15,0,0,58.916,0,Peer
2676,<12,0,0,5.667,1,Peer
2679,<12,0,0,22.935,0,Peer
2682,<12,0,0,12.999,1,Peer
2684,15-Dec,1,0,21.999,0,Peer
2688,<12,0,0,45.437,0,Peer
2690,<12,0,0,14.998,0,OlderHusband
